30; [784, 10]; 40; 0.05; [0.1232]; [0.46938776]; [0.05814978]; [0.0755814]; [0.03663366]; [0.16904277]; [0.01345291]; [0.11575875]; [0.11575875]; [0.03080082]; [0.00297324]; 0:00:33.570679; 
30; [784, 50, 10]; 40; 0.05; [0.0933]; [0.04795918]; [0.11806167]; [0.02906977]; [0.18217822]; [0.10183299]; [0.06838565]; [0.1459144]; [0.1459144]; [0.03080082]; [0.19524281]; 0:01:42.087973; 
30; [784, 50, 50, 10]; 40; 0.05; [0.0924]; [0.19183673]; [0.16035242]; [0.05426357]; [0.18118812]; [0.14867617]; [0.01569507]; [0.00680934]; [0.00680934]; [0.08932238]; [0.01783944]; 0:02:03.826682; 
30; [784, 50, 50, 50, 10]; 40; 0.05; [0.1055]; [0.]; [0.]; [0.96705426]; [0.]; [0.00916497]; [0.01457399]; [0.02140078]; [0.02140078]; [0.]; [0.01090188]; 0:02:28.788007; 
30; [784, 50, 50, 50, 50, 10]; 40; 0.05; [0.0932]; [0.03163265]; [0.00969163]; [0.12596899]; [0.03564356]; [0.01629328]; [0.23542601]; [0.34435798]; [0.34435798]; [0.03901437]; [0.09316155]; 0:02:50.037353; 
30; [784, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1233]; [0.]; [0.]; [0.00290698]; [0.]; [0.00203666]; [0.]; [0.89105058]; [0.89105058]; [0.0164271]; [0.28939544]; 0:03:10.734809; 
30; [784, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.0972]; [0.07346939]; [0.00969163]; [0.00387597]; [0.04059406]; [0.03462322]; [0.06726457]; [0.66050584]; [0.66050584]; [0.00308008]; [0.04261645]; 0:03:39.385385; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.107]; [0.]; [0.]; [0.]; [0.]; [0.8604888]; [0.25224215]; [0.]; [0.]; [0.]; [0.]; 0:04:04.809543; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1229]; [0.]; [0.71453744]; [0.00775194]; [0.27821782]; [0.00610998]; [0.00224215]; [0.04085603]; [0.04085603]; [0.08008214]; [0.]; 0:04:30.306473; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1044]; [0.]; [0.86784141]; [0.]; [0.]; [0.]; [0.01121076]; [0.]; [0.]; [0.05030801]; [0.]; 0:05:11.150179; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1125]; [0.]; [0.97444934]; [0.]; [0.0039604]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; 0:05:38.399985; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.0913]; [0.]; [0.]; [0.]; [0.]; [0.13136456]; [0.87443946]; [0.]; [0.]; [0.]; [0.00396432]; 0:06:23.424077; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1031]; [0.]; [0.]; [0.99903101]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; 0:09:15.793754; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1161]; [0.]; [0.94625551]; [0.]; [0.]; [0.]; [0.]; [0.01070039]; [0.01070039]; [0.07494867]; [0.]; 0:07:34.938211; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.1051]; [0.]; [0.]; [0.99418605]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.02477701]; 0:07:49.152500; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.0958]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; [0.]; 0:14:18.093466; 
30; [784, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 10]; 40; 0.05; [0.0892]; [0.]; [0.]; [0.]; [0.]; [0.]; [1.]; [0.]; [0.]; [0.]; [0.]; 0:07:55.769869; 
